text;label
6 книжных новинок нашей традиционной подборке! 1. «Феномены 90-х. Опыт человека, которому посчастливилось выжить» — книга, которая расскажет жизни 90-х самых ярких красках. Автор пишет своем опыте, считает, текст покажется близким каждому, пережил времена. Феномен 90-х раскрыт! Приобрести книгу «Феномены 90-х. Опыт человека, которому посчастливилось выжить» (18+): «Читай-город» — Wildberries — Ozon — 2. Книга-автобиография гениального ученого загадочного изобретателя Николаса Теслы «изобрел электричество» повествует жизни человека, посвятившего науке. имя праву ассоциируется гениальностью инновациями, именно Тесла стал предтечей мирового технического прогресса. Приобрести книгу «изобрел электричество» (12+): «Читай-город» — Wildberries — Ozon — 3. любите кошек, хочется узнать этих прекрасных животных потребностях — хорошая новость! Книга «Вопросы кошках» станет вашим незаменимым путеводителем мир пушистых урчащих питомцев поможет понять кошачью психологию. Приобрести книгу «Вопросы кошках. Самое интересное пушистых любимцах» (12+): Wildberries — Ozon — 4. Книга «Дальний Восток: мифы легенды» откроет волшебный мир сказок легенд живописного могучего уголка нашей страны. земле бродят грозные медведи уссурийские тигры, пустыни соседствуют хвойными лесами степями. Эта уникальная природа жители становятся героями сказочных сюжетов, которые изложены книге. Приобрести книгу «Дальний Восток: мифы легенды» (12+): 5. Книга сказочницы сказкотерапевта Жанны Коробкиной «Пятнашки Чудом» окутает волшебством научит жить жизнь, словно сказку. текст, находить выход самого темного непроходимого леса жизненных сложностей, обходить ловушки творческого тупика терять веры мечты. Приобрести книгу «Пятнашки Чудом. Мудрые сказки-подсказки, выбраться тупика, растопить обиды исполнить мечты» (16+): «Читай-город» — Wildberries — Ozon — 6. когда-нибудь мечтали стать фигуристом? олимпийским чемпионом? Нейтан Чан, мальчик небогатой китайской семьи, 3-х лет грезил олимпийским золотом. Однако путь вершине сладок легок. своем пути сквозь тернии звездам написал автобиографии. Приобрести книгу «Нейтан Чен. мечте прыжок прыжком» (12+): «Читай-город» — Wildberries — Ozon — Узнать теме можете, перейдя хештегу;реклама
Литературная терапия: задайте вопрос вирусному автору! продолжаем нашу рубрику, посвященную заботе ментальном здоровье. Весь месяц вместе нашими авторами будем отвечать ваши вопросы психологическом благополучии. Сегодня наш эксперт — Зоя Арефьева, автор самых душевных «ликалепних» книг котиках. книги возвращают вдохновение, поддерживают сложную минуту помогают потерять череде будничных забот веру чудеса. по-доброму смешные невероятно уютные! можете задать автору вопросы, наполнить жизнь вдохновением, сохранить веру мечты, найти источник тепла радости обыденной жизни, научиться относиться ко всему юмором благодарностью. Пишите свои вопросы комментариях. 25 октября выборочно опубликуем ответы ваши вопросы. Оставайтесь нами плывите жизни задорно! Приобрести книги автора (16+):;образование
Россия, которую стоит увидеть: архитектурные находки идеи путешествий студии «Литературного подкаста АСТ Нонфикшн» Анна Короб — фотограф-документалист, автор книг «Неизвестное Золотое кольцо России», «Неизвестная Россия», «Крым. Полуостров легенд архитектурных шедевров», «Неизвестные окрестности Петербурга», «Фрески заброшенных церквей». лет Анна путешествует России поисках исторических памятников архитектуры зодчества. получите ответы следующие вопросы: — привлекательны разрушенные церкви, увядающие усадьбы, мертвые деревни другие сокровища русской глубинки? — отобразить красоту давно забытого фотографии? — взять собой путешествие отправиться? Анна расскажет, какие открытия удалось совершить годы путешествий стране, какие удивительные объекты удалось увидеть запечатлеть, подскажет, составить нетривиальный маршрут живописным уголкам России. Послушать полный выпуск Анной Короб следующим ссылкам: «Яндекс-музыка» — «Яндекс Книги» — «Литрес» — «Звук» — Также полные выпуски подкастов доступны нашем телеграм-канале! сегодня сможете послушать разговор Никитой Куценко ссылке: Ждем нашем телеграм-канале!;мероприятия
Переводчик языка манипулятора русский! Порой замечаем, нами манипулируют, самые сильные манипулятивные фразы тщательно маскируются — проявление заботы, мудрый совет желание помочь. Слова, которые ранят, первый взгляд могут показаться нормальными, самом деле — часть игры манипулятора. Попробуйте снять розовые очки посмотреть, манипулятор использует те иные фразы самом деле. Сталкивались когда-нибудь подобными фразами? использовали? Делитесь комментариях! приемах манипуляторов читайте книге Анастасии Балашовой «Матрица манипуляций. добиваться своего защититься чужого влияния» (16+ ), приобрести которую следующим ссылкам: «Читай-город» — Wildberries — Ozon — Узнать теме можете, перейдя хештегу;образование
Просто сложном: главное анализах Осенняя пора часто заставляет пристально следить своим здоровьем., сильный иммунитет позволяет радоваться жизни круглый год! Крепкое здоровье, высокий уровень энергии долголетие — это прежде ежедневная забота своевременная профилактика. Вовремя сданные анализы помогут предупредить многие болезни наладить здоровье. Книга практикующего врача-невролога высшей категории, специалиста превентивной медицины Ольги Лисенковой «анализах» поможет разобраться ключевых медицинских анализах. узнаете значении способах расшифровки, правильно подготовитесь сдаче определите, какому врачу стоит обратиться. Книга состоит двух частей: 1. Первая часть книги познакомит базовой теорией системах организма. 2. Вторая часть книги содержит подробные расшифровки необходимых анализов комментарии, также таблицы контроля веса артериального давления. Позаботиться своем здоровье приобрести книгу «Всё анализах: какие, готовиться сдавать, расшифровки пояснения. Чек-ап вашего здоровья» (16+): «Читай-город» — Ozon — Wildberries — Узнать теме можете, перейдя хештегу;образование
Итоги розыгрыша 4-х книг рубрики! Наши победители: Каждый получит одной книге. Поздравляем! Напишите нам сообщения сообщества Книги АСТ нонфикшн. оставайтесь нами, впереди других активностей полезных советов! Видео итогами розыгрыша сможете найти ссылке: Приобрести книги рубрики следующим ссылкам: «Читай-город» — Ozon — Wiildberries — Узнать теме можете, перейдя хештегу;новости
Правление Рюриков: тайны великой династии Книга сценариста кандидата исторических наук Марины Бандиленко «Рюриковичи. История первой династии», основанная сценарии полюбившейся телезрителям докудрамы, раскроет нетривиальные факты первой царской династии России. Книга заставит прошлое ожить переливаться всеми красками: динамичный красочный язык автора погрузит гущу исторических событий, глубокое, психологичное описание характеров отразит сложность противоречивость исторических фигур. узнаете тайне появления Рюрика Руси протяженном времени правления династии. История предстанет читателем виде скучной хронологии событий, водоворот ярких сюжетов, поражающих воображение захватывающих дух! Узнать исторические подробности правления Рюриков приобрести книгу «Рюриковичи. История первой династии» (12+): Читай-город — Wildberries — Ozon — Изучить тему можете, перейдя хештегу;образование
Собираем наши «опупени» мысли: самый позитивный блокнот Бывают дни, эмоций край: хочется поплакать покричать, посмеяться вдоволь, громко озорно. Психологи советуют пользоваться методом «журналинга» облекать эмоции переживания слова, напряжение уходило ума тела. цели приготовили потрясающий блокнот! Приободряющие веселые мысли котиков много-много страниц, выплеснуть всё, накопилось. Заварите горячий какао скорее принимайтесь дело. Блокнот автора бестселлеров Зои Арефьевой создан специально, поднять ваше настроение дать пространство всем вашим мыслям чувствам! Соберите свои «опупени» мысли, вдохновитесь уютными иллюстрациями мотивирующими посланиями котиков. Приобрести блокнот «Опупени мысли. Кошички листы арания» (16+): «Читай-город» — Wildberries — Ozon — Узнать теме можете, перейдя хештегу;образование
Какие книги читали персонажи «Гордость предубеждение»? Продолжаем нашу любимую рубрику! Сегодня поразмышляем, какие книги АСТ нонфикшн читали герои знаменитого романа Джейн Остин «Гордость предубеждение? Листайте карусель делитесь своим мнением комментариях!;образование
Проведите пальцем экрану получите решение Эта книга – авторский путеводитель, который познакомит многими тайными уголками столицы, расскажет историю любопытные факты. подарит стимул посещению новых интересных мест Москве. Совершить познавательную экскурсию городу приобрести книгу «Москва. Личности, время, неизвестные места города» (12+)Михаила Жербака следующим ссылкам: «Читай-город» — Ozon — Wildberries — Узнать теме можете, перейдя хештегу;образование
